date,scrap_type,title,original_title,genre,score,annee,public,time,langue,pays,description,acteur
2022-12-15 09:34:23.621667,film,The Shawshank Redemption,The Shawshank Redemption,Drama,9.3,1994,Tous publics avec avertissement,142,English,United States,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."," Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Renee Blaine, Scott Mann, John Horton, Gordon Greene, Alfonso Freeman, Vincent Foster, John E. Summers, Frank Medrano, Mack Miles, Alan R. Kessler, Morgan Lund, Cornell Wallace, Gary Lee Davis, Neil Summers, Ned Bellamy, Joe Pecoraro, Harold E. Cope Jr., Brian Delate, Don McManus, Donald Zinn, Dorothy Silver, Robert Haley, Dana Snyder, John D. Craig, Ken Magee, Eugene C. DePasquale, Bill Bolender, Ron Newell, John R. Woodward, Chuck Brauchler, Dion Anderson, Claire Slemmer, James Kisicki, Rohn Thomas, Charlie Kearns, Rob Reider, Brian Brophy, Paul Kennedy, James Babson, Dennis Baker, Fred Culbertson, Richard Doone, Samantha Goldberg, Shane Grove"
2022-12-15 09:36:08.330718,film,The Godfather,The Godfather,Crime,9.2,1972,Tous publics avec avertissement,175,"English,Italian,Latin",United States,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.," Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall"
2022-12-15 09:36:09.040363,film,The Dark Knight,The Dark Knight,Action,9.0,2008,Tous publics,152,"English,Mandarin",United States,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."," Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal"
2022-12-15 09:36:08.649635,film,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Action,9.0,2003,Tous publics,201,"English,Quenya,Old English,Sindarin",New Zealand,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.," Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach"
2022-12-15 09:36:06.909674,film,Schindler's List,Schindler's List,Biography,9.0,1993,Tous publics avec avertissement,195,"English,Hebrew,German,Polish,Latin",United States,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."," Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall"
2022-12-15 09:36:07.342864,film,The Godfather Part II,The Godfather Part II,Crime,9.0,1974,Tous publics avec avertissement,202,"English,Italian,Spanish,Latin,Sicilian",United States,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."," Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale"
2022-12-15 09:36:06.826473,film,12 Angry Men,12 Angry Men,Crime,9.0,1957,Tous publics,96,,United States,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.," Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman"
2022-12-15 09:34:34.597165,film,Jai Bhim,Jai Bhim,Crime,8.9,2021,16+,164,,India,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."," Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj"
2022-12-15 09:36:06.175862,film,Pulp Fiction,Pulp Fiction,Crime,8.9,1994,Tous publics avec avertissement,154,"English,Spanish,French",United States,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."," Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta, Samuel L. Jackson"
2022-12-15 09:36:04.464319,film,Inception,Inception,Action,8.8,2010,Tous publics,148,"English,Japanese,French",United States,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro..., "," Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe"
