date,scrap_type,title,original_title,score,annee,public,genre,saison,time,pays,langue,description
2022-12-14 19:24:30.843337,serie,Bluey,Bluey,9.6,2018– ,2+,Animation, 3,7,Australia,English,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.
2022-12-14 19:24:23.766926,serie,Planet Earth II,Planet Earth II,9.5,2016,Tous publics,Documentary, 1,298,United Kingdom,English,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
2022-12-14 19:28:19.602509,serie,Breaking Bad,Breaking Bad,9.5,2008–2013,16+,Crime, 5,49,United States,English,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
2022-12-14 19:26:14.558348,serie,Bleach: Thousand-Year Blood War,Bleach: Sennen Kessen-hen,9.4,2022– ,16+,Animation, 1,24,Japan,Japanese,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approac..., "
2022-12-14 19:28:18.259633,serie,Chernobyl,Chernobyl,9.4,2019,16+,Drama, 1,330,United States,English,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
2022-12-14 19:28:19.466118,serie,Planet Earth,Planet Earth,9.4,2006,Tous publics,Documentary, 1,538,United Kingdom,English,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition."
2022-12-14 19:28:18.633073,serie,Band of Brothers,Band of Brothers,9.4,2001,16+,Drama, 1,594,United States,English,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
2022-12-14 19:24:29.145839,serie,Scam 1992: The Harshad Mehta Story,Scam 1992: The Harshad Mehta Story,9.3,2020,14+,Biography, 1,54,India,Hindi,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
2022-12-14 19:28:12.568560,serie,Our Planet,Our Planet,9.3,2019,Tous publics,Documentary, 1,403,United States,English,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and di..., "
2022-12-14 19:28:15.941640,serie,Blue Planet II,Blue Planet II,9.3,2017–2022,Tous publics,Documentary, 1,364,United Kingdom,,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa..., "
2022-12-14 19:26:19.667116,serie,Critical Role,Critical Role,9.3,2015– ,14+,Adventure, 3,3,United States,English,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign."
2022-12-14 19:28:17.973979,serie,Cosmos: A Spacetime Odyssey,Cosmos: A Spacetime Odyssey,9.3,2014,Tous publics,Documentary, 1,557,United States,English,An exploration of our discovery of the laws of nature and coordinates in space and time.
2022-12-14 19:28:19.087247,serie,Avatar: The Last Airbender,Avatar: The Last Airbender,9.3,2005–2008,7+,Animation, 3,23,United States,English,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
2022-12-14 19:28:18.020749,serie,The Wire,The Wire,9.3,2002–2008,16+,Crime, 5,59,United States,English,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
2022-12-14 19:28:15.688703,serie,Cosmos,Cosmos,9.3,1980,Tous publics,Documentary, 1,13,United States,,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.
